Country,Country Code,Continent,Region,Year,Emissions_Per_Capita,Emissions
Afghanistan,4,Asia,Southern Asia,2020,,
Afghanistan,4,Asia,Southern Asia,2020,,
Afghanistan,4,Asia,Southern Asia,2020,,
Afghanistan,4,Asia,Southern Asia,2020,,
Afghanistan,4,Asia,Southern Asia,2020,,
Afghanistan,4,Asia,Southern Asia,2020,,
Afghanistan,4,Asia,Southern Asia,2020,0.018,
Afghanistan,4,Asia,Southern Asia,2020,0,
Afghanistan,4,Asia,Southern Asia,2020,0,
Afghanistan,4,Asia,Southern Asia,2020,0,
Afghanistan,4,Asia,Southern Asia,2020,0,
Afghanistan,4,Asia,Southern Asia,2020,0,
Afghanistan,4,Asia,Southern Asia,2020,0.011,
Afghanistan,4,Asia,Southern Asia,2020,0.011,
Afghanistan,4,Asia,Southern Asia,2020,0.011,
Afghanistan,4,Asia,Southern Asia,2020,0.011,
Afghanistan,4,Asia,Southern Asia,2020,0.022,
Afghanistan,4,Asia,Southern Asia,2020,0.022,
Afghanistan,4,Asia,Southern Asia,2020,0.022,
Afghanistan,4,Asia,Southern Asia,2020,0.022,
Afghanistan,4,Asia,Southern Asia,2020,0.043,
Afghanistan,4,Asia,Southern Asia,2020,0.061,
Afghanistan,4,Asia,Southern Asia,2020,0.065,
Afghanistan,4,Asia,Southern Asia,2020,0.054,
Afghanistan,4,Asia,Southern Asia,2020,0.054,
Afghanistan,4,Asia,Southern Asia,2020,,
Afghanistan,4,Asia,Southern Asia,2020,,
Afghanistan,4,Asia,Southern Asia,2020,,
Afghanistan,4,Asia,Southern Asia,2020,,
Afghanistan,4,Asia,Southern Asia,2020,,
Afghanistan,4,Asia,Southern Asia,2020,,
Afghanistan,4,Asia,Southern Asia,2020,,
Afghanistan,4,Asia,Southern Asia,2020,0.24,
Afghanistan,4,Asia,Southern Asia,2020,0.294,
Afghanistan,4,Asia,Southern Asia,2020,0.287,0.014
Afghanistan,4,Asia,Southern Asia,2020,0.265,0.011
Afghanistan,4,Asia,Southern Asia,2020,0.445,0.011
Afghanistan,4,Asia,Southern Asia,2020,0.423,0.011
Afghanistan,4,Asia,Southern Asia,2020,0.556,0.007
Afghanistan,4,Asia,Southern Asia,2020,0.638,0.011
Afghanistan,4,Asia,Southern Asia,2020,0.588,0.011
Afghanistan,4,Asia,Southern Asia,2020,0.663,0.011
Afghanistan,4,Asia,Southern Asia,2020,0.8,0.011
Afghanistan,4,Asia,Southern Asia,2020,0.721,0.025
Afghanistan,4,Asia,Southern Asia,2020,0.828,0.036
Afghanistan,4,Asia,Southern Asia,2020,0.75,0.039
Afghanistan,4,Asia,Southern Asia,2020,0.904,0.036
Afghanistan,4,Asia,Southern Asia,2020,0.9,0.036
Afghanistan,4,Asia,Southern Asia,2020,0.918,0.039
Afghanistan,4,Asia,Southern Asia,2020,0.968,0.043
Afghanistan,4,Asia,Southern Asia,2020,1.069,0.039
Afghanistan,4,Asia,Southern Asia,2020,1.244,0.039
Afghanistan,4,Asia,Southern Asia,2020,1.255,0.05
Afghanistan,4,Asia,Southern Asia,2020,1.162,0.054
Afghanistan,4,Asia,Southern Asia,2020,1.388,0.054
Afghanistan,4,Asia,Southern Asia,2020,1.356,0.043
Afghanistan,4,Asia,Southern Asia,2020,1.395,0.05
Afghanistan,4,Asia,Southern Asia,2020,1.295,0.05
Afghanistan,4,Asia,Southern Asia,2020,1.155,0.039
Afghanistan,4,Asia,Southern Asia,2020,1.37,0.039
Afghanistan,4,Asia,Southern Asia,2020,1.366,0.036
Afghanistan,4,Asia,Southern Asia,2020,1.513,0.047
Afghanistan,4,Asia,Southern Asia,2020,1.901,0.068
Afghanistan,4,Asia,Southern Asia,2020,1.919,0.061
Afghanistan,4,Asia,Southern Asia,2020,2.428,0.086
Afghanistan,4,Asia,Southern Asia,2020,2.636,0.086
Afghanistan,4,Asia,Southern Asia,2020,2.335,0.072
Afghanistan,4,Asia,Southern Asia,2020,3.389,0.086
Afghanistan,4,Asia,Southern Asia,2020,4.085,0.104
Afghanistan,4,Asia,Southern Asia,2020,3.608,0.082
Afghanistan,4,Asia,Southern Asia,2020,3.364,0.079
Afghanistan,4,Asia,Southern Asia,2020,2.747,0.043
